ITEMCODE,ITEMNAME,COMPANY,PROFITPERC,DISCOUNTPE,ICHARGES,SHORTNAME,SELECTED,SALEAC,PURAC,CSTSALE,QTYRATE,UNIT,PACKINGPC,WEIGHT,EXCISEPC,EXCISETYPE,GROUPCODE,ITEMDESC1,ITEMDESC2,TAXONSPMRP,INCLUSIVE,MINIMUMSTO,MAXIMUMSTO,SALETAXPE,NARCOTIC,BIGUNIT,UPCCODE,LOCATION,DPCOACT,HONESCHEDU,IUCCODE,SAPCODE,BARCODE,HSNCODE,ADDITIONCE
29,ACIDUM URI        30 30ML,2,0.00,0.00,0.00,WSI  -37,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
30,ACONITUM FER      30 30ML,2,0.00,0.00,0.00,WSI  -38,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
31,ACONITUM LYC      30 30ML,2,0.00,0.00,0.00,WSI  -39,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
32,ACONITUM RAD      30 30ML,2,0.00,0.00,0.00,WSI  -40,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
33,ACORUS CAL        30 30ML,2,0.00,0.00,0.00,WSI  -42,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
34,ACTAEA SPI        30 30ML,2,0.00,0.00,0.00,WSI  -43,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
35,ACTH              30 30ML,2,0.00,0.00,0.00,WSI   **,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
36,ADLUMIA FUN       30 30ML,2,0.00,0.00,0.00,WSI  -44,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
37,ADONIS VER        30 30ML,2,0.00,0.00,0.00,WSI  -45,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
38,ADRENALINUM       30 30ML,2,0.00,0.00,0.00,WSI  -46,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
39,ADRENALINUM MUR   30 30ML,2,0.00,0.00,0.00,WSI  -47,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
40,AEGLE MAR         30 30ML,2,0.00,0.00,0.00,WSI  -49,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
41,AESCULINUM        30 30ML,2,0.00,0.00,0.00,WSI  -50,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
42,AESCULUS GLA      30 30ML,2,0.00,0.00,0.00,WSI  -51,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
43,AESCULUS HIP      30 30ML,2,0.00,0.00,0.00,WSI  -52,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
44,AETHIOPS ANT      30 30ML,2,0.00,0.00,0.00,WSI  -53,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
45,AETHIOPS MER MIN  30 30ML,2,0.00,0.00,0.00,WSI  -54,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
46,AETHUSA CYN       30 30ML,2,0.00,0.00,0.00,WSI  -55,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
48,AGARICUS EME      30 30ML,2,0.00,0.00,0.00,WSI  -57,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
49,AGARICUS PHA      30 30ML,2,0.00,0.00,0.00,WSI  -59,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
50,AGAVE AME         30 30ML,2,0.00,0.00,0.00,WSI  -60,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
51,AGNUS CAS         30 30ML,2,0.00,0.00,0.00,WSI  -61,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
52,AGRAPHIS NUT      30 30ML,2,0.00,0.00,0.00,WSI  -62,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
53,AGRIMONIA EUP     30 30ML,2,0.00,0.00,0.00,WSI  -63,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
54,AGROSTEMMA GIT    30 30ML,2,0.00,0.00,0.00,WSI  -64,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
55,AILANTHUS GLA     30 30ML,2,0.00,0.00,0.00,WSI  -65,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
56,ALETRIS FAR       30 30ML,2,0.00,0.00,0.00,WSI  -66,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
57,ALFALFA           30 30ML,2,0.00,0.00,0.00,WSI  -67,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
58,ALISMA PLA        30 30ML,2,0.00,0.00,0.00,WSI  -68,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
59,ALLIUM SAT        30 30ML,2,0.00,0.00,0.00,WSI  -70,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
60,ALLIUM URS        30 30ML,2,0.00,0.00,0.00,WSI  -71,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
61,ALLOXAN           30 30ML,2,0.00,0.00,0.00,WSI  -72,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
62,ALNUS GLU         30 30ML,2,0.00,0.00,0.00,WSI  -73,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
63,ALNUS SER         30 30ML,2,0.00,0.00,0.00,WSI  -74,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
64,ALOE SOC          30 30ML,2,0.00,0.00,0.00,WSI  -75,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
65,ALSTONIA CON      30 30ML,2,0.00,0.00,0.00,WSI  -76,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
66,ALSTONIA SCH      30 30ML,2,0.00,0.00,0.00,WSI  -77,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
67,ALTHAEA OFF       30 30ML,2,0.00,0.00,0.00,WSI  -78,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
68,ALUMEN            30 30ML,2,0.00,0.00,0.00,WSI  -79,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
69,ALUMINA PHOS      30 30ML,2,0.00,0.00,0.00,WSI  -81,,8,13,0,0.000,,0,0.000,0.00,,1,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
70,ALUMINIUM ACE TA  30 30ML,2,0.00,0.00,0.00,WSI  -82,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
