ARSENICUM IOD,ARSENICUM IODATUM
ARSENICUM MET,ARSENICUM METALLICUM
ARSENICUM SUL FL,ARSENICUM SULPHURATUM FLAVUM
ARSENICUM SUL RU,ARSENICUM SULPHURATUM RUBRUM
ARTEMISIA VUL,ARTEMISIA VULGARIS
ARUM DRACO,ARUM DRACONTIUM
ARUM DRACUN,ARUM DRACUNCULUS
ARUM MAC,ARUM MACULATUM
ARUM TRI,ARUM TRIPHYLLUM
ASAFOETIDA,ASAFOETIDA
ASARUM CAN,ASARUM CANADENSE
ASARUM EUR,ASARUM EUROPAEUM
ASCLEPIAS CUR,ASCLEPIAS CURASSAVICA
ASCLEPIAS INC,ASCLEPIAS INCARNATA
ASCLEPIAS TUB,ASCLEPIAS TUBEROSA
ASPARAGUS OFF,ASPARAGUS OFFICINALIS
ASPERULA ODO,ASPERULA ODORATA
ASPIDOSPERMA QUE,ASPIDOSPERMA QUEBRACHO
ASPIDOSPERMINUM,ASPIDOSPERMINUM
ASTACUS FLU,ASTACUS FLUVIATILIS
ATISTA IND,ATISTA INDICA
ATISTA RAD,ATISTA RADIX
ATROPINUM,ATROPINUM
AURUM BRO,AURUM BROMATUM
AURUM COL,AURUM COLLOIDALE
AURUM IOD,AURUM IODATUM
AURUM MUR,AURUM MURIATICUM
AURUM MUR NAT,AURUM MURIATICUM NATRONATUM
AVENA SAT,AVENA SATIVA
AVIAIRE,AVIAIRE
AZADIRACHTA IND,AZADIRACHTA INDICA
BACILLINUM,BACILLINUM
BACOPA(BRAHMI),BACOPA MONNIERI(BRAHMI)
BADIAGA,BADIAGA
BALSAM PER,BALSAM PERUVIANUM
BAPTISIA TIN,BAPTISIA TINCTORIA
BARYTA ACE,BARYTA ACETICA
BARYTA IOD,BARYTA IODATA
BARYTA MUR,BARYTA MURIATICA
BAROSMA CRE,BAROSMA CRENATA
BARYTA PHOS,BARYTA PHOSPHORICA
BACILLUS COL,BACILLUS COLI
BELLADONNA,BELLADONNA
BELLIS PER,BELLIS PERENNIS
BENZENUM,BENZENUM
BERBERIS AQ,BERBERIS AQUIFOLIUM
BERBERIS VUL,BERBERIS VULGARIS
BERYLLIUM CARB,BERYLLIUM CARBONICUM
BERYLLIUM MET,BERYLLIUM METALLICUM
BETA VUL,BETA VULGARIS
BETULA PEN FOL,BETULA PENDULA FOLIA
BISMUTHUM MET,BISMUTHUM METALLICUM
BISMUTHUM OXY,BISMUTHUM OXYDATUM
BISMUTHUM SUBG,BISMUTHUM SUBGALLICUM
BISMUTHUM SUBN,BISMUTHUM SUBNITRICUM
BLATTA AME,BLATTA AMERICANA
BLATTA ORI,BLATTA ORIENTALIS
BOERHAAVIA DIF,BOERHAAVIA DIFFUSA
BOLDO,BOLDO
BORAGO OFF,BORAGO OFFICINALIS
BOTHROPS LAN,BOTHROPS LANCEOLATUS
BOVISTA,BOVISTA
BRACHYGLOTTIS RE,BRACHYGLOTTIS REPENS
BRASSICA OLE,BRASSICA OLERACEA
BROMIUM,BROMIUM
BRUCINUM,BRUCINUM
BRYONIA ALB,BRYONIA ALBA
BRYOPHYLLUM,BRYOPHYLLUM
BUFO RANA,BUFO RANA
BUXUS SEM,BUXUS SEMPERVIRENS
CACAO,CACAO
CACTUS GRA,CACTUS GRANDIFLORUS
CADMIUM BRO,CADMIUM BROMATUM
CADMIUM MET,CADMIUM METALLICUM
CADMIUM SUL RA,CADMIUM SULPHURATUM 
CADMIUM SUL RI,CADMIUM SULPHURITUM 
CAESALPINIA BON,CAESALPINIA BONDUCELLA
CAFFEINUM,CAFFEINUM
CAFFEINUM CIT,CAFFEINUM CITRICUM
CAINCA,CAINCA
CALCAREA ACE,CALCAREA ACETICA
CALCAREA ARS CO,CALCAREA ARSENICOSA
CALCAREA BROM,CALCAREA BROMATA
CALCAREA CARB,CALCAREA CARBONICA
CALCAREA CAU,CALCAREA CAUSTICA
CALCAREA FLU,CALCAREA FLUORICA
CALCAREA HYPHOS,CALCAREA HYPOPHOSPHOROSA
CALCAREA IOD,CALCAREA IODATA
CALCAREA LAC,CALCAREA LACTICA(CALCIUM LACTICA)
CALCAREA MUR,CALCAREA MURIATICA
CALCAREA OVA TOS,CALCAREA OVA TOSTA
CALCAREA OXA,CALCAREA OXALICA(CALCIUM OXALICA)
CALCAREA PHOS,CALCAREA PHOSPHORICA
CALCAREA SIL,CALCAREA SILICATA
CALCAREA SUL,CALCAREA SULPHURICA
CALCULI BIL,CALCULI BILIARI
CALCULI REN,CALCULI RENALES
CALENDULA OFF,CALENDULA OFFICINALIS
CALLUNA,CALLUNA
CALTHA PAL,CALTHA PALUSTRIS
CAMPHORA,CAMPHORA
CAMPHORA BRO(MON),CAMPHORA BROMATA(MONO)
CANCHALAGUA,CANCHALAGUA
CANDIDA ALB,CANDIDA ALBICANS
CANNABIS IND,CANNABIS INDICA
CANNABIS SAT,CANNABIS SATIVA
CANTHARIS,CANTHARIS
CAPSICUM ANN,CAPSICUM ANNUUM
CARBO ANI,CARBO ANIMALIS
CARBO VEG,CARBO VEGETABILIS
CARBONEUM OXY,CARBONEUM OXYGENISATUM
CARBONEUM SUL,CARBONEUM SULPHURATUM
CARBONEUM TET,CARBONEUM TETRAMURIATICUM
CARCINOSINUM,CARCINOSINUM
CARDIOSPERMUM HE,CARDIOSPERMUM HELICACABUM
CARDUUS BEN,CARDUUS BENEDICTUS
CARDUUS MAR,CARDUUS MARIANUS
CARICA PAP,CARICA PAPAYA
CARUM CAR,CARUM CARVI
CARYA ALB,CARYA ALBA
CASCARA SAG,CASCARA SAGRADA
CASCARILLA,CASCARILLA
CASSIA FIS,CASSIA FISTULA
CASSIA SOP,CASSIA SOPHERA
CASTANEA VES,CASTANEA VESCA
CASTOR EQU,CASTOR EQUI
CASTOREUM,CASTOREUM
CATALPA BIG,CATALPA BIGNONIOIDES
CATECHU,CATECHU
CAULOPHYLLUM TH,CAULOPHYLLUM THALICTROIDES
CAUSTICUM,CAUSTICUM
CENCHRIS CON,CENCHRIS CONTORTRIX
CENTAURIUM ERY,CENTAURIUM ERYTHRAEA(C.UMB)
CEPHALANDRA IND,CEPHALANDRA INDICA
CEREUS BON,CEREUS BONAPLANDI
CEREUS SER,CEREUS SERPENTINUS
CERIUM OXA,CERIUM OXALICUM
CETRARIA ISL,CETRARIA ISLANDICA
CHAMOMILLA,CHAMOMILLA
CHAPARO AMA,CHAPARO AMARGOSO
CHEIRANTHUS CHE,CHEIRANTHUS CHEIRI
CHELIDONIUM MAJ,CHELIDONIUM MAJUS
CHELONE GLA,CHELONE GLABRA
CHENOPODIUM GLA,CHENOPODIUM GLAUCUM
CHIMAPHILA MAC,CHIMAPHILA MACULATA
CHIMAPHILA UMB,CHIMAPHILA UMBELLATA
CHININUM ARS CI,CHININUM ARSENICICUM
CHININUM ARS CO,CHININUM ARSENICOCUM
CHININUM MUR,CHININUM MURIATICUM
CHININUM SAL,CHININUM SALICYLICUM
CHININUM SUL,CHININUM SULPHURICUM
CHIONANTHUS VIR,CHIONANTHUS VIRGINICA
CHLOROFORMIUM,CHLOROFORMIUM
CHOLESTERINUM,CHOLESTERINUM
CHROMIUM OXY,CHROMIUM OXYDATUM
CHRYSANTHEMUM P,CHRYSANTHEMUM PARTHENIUM
CHRYSAROBINUM,CHRYSAROBINUM
CICHORIUM INT,CICHORIUM INTYBUS
CICUTA MAC,CICUTA MACULATA
CICUTA VIR,CICUTA VIROSA
CIMAX LEC,CIMAX LEC
CHINA OFF,CINCHONA OFFICINALIS(CHINA)
CINERARIA MAR,CINERARIA MARITIMA
CINNABARIS,CINNABARIS
CINNAMOMUM,CINNAMOMUM
CISTUS CAN,CISTUS CANADENSIS
CITRUS LIM,CITRUS LIMONUM
CITRUS VUL,CITRUS VULGARIS
CLEMATIS ERE,CLEMATIS ERECTA
CLEMATIS VIT,CLEMATIS VITALBA
CLERODENDRON IN,CLERODENDRON INFORTUNATUM
COBALTUM MET,COBALTUM METALLICUM
COBALTUM MUR,COBALTUM MURIATICUM
COBALTUM NIT,COBALTUM NITRICUM
COCCULUS IND,COCCULUS INDICUS
COCCUS CAC,COCCUS CACTI
COCHLEARIA ARM,COCHLEARIA ARMORACIA
COFFEA CRU,COFFEA CRUDA
COFFEA TOS,COFFEA TOSTA
COLCHICINUM,COLCHICINUM
COLCHICUM AUT,COLCHICUM AUTUMNATA
COLEUS ARO,COLEUS AROMATICUS
COLIBACILLINUM,COLIBACILLINUM
COLLINSONIA CAN,COLLINSONIA CANADENSIS
COLOCYNTHIS,COLOCYNTHIS
COMOCLADIA DEN,COMOCLADIA DENTATA
CONDURANGO,CONDURANGO
CONIUM MAC,CONIUM MACULATUM
CONVALLARIA MAJ,CONVALLARIA MAJALIS
CONVOLVULUS ARV,CONVOLVULUS ARVENSIS
COPAIVA OFF,COPAIVA OFFICINALIS
CORALLIUM RUB,CORALLIUM RUBRUM
CORIANDRUM SAT,CORIANDRUM SATIVUM
CORNUS ALT,CORNUS ALTERNIFOLIA
CORNUS CIR,CORNUS CIRCINATA
CORNUS FLO,CORNUS FLORIDA
CORTISONE,CORTISONE
COTYLEDON UMB,COTYLEDON UMBILICUS
CRATAEGUS OXY,CRATAEGUS OXYACANTHA
CRESOLUM,CRESOLUM
CROTALUS CAS,CROTALUS CASCAVELLA
CROTON TIG,CROTON TIGLIUM
CUBEBA OFF,CUBEBA OFFICINALIS
CUCURBITA PEP,CUCURBITA PEPO
CUPRESSUS LAW,CUPRESSUS LAWSONIANA
CUPRUM ACE,CUPRUM ACETICUM
CUPRUM ARS,CUPRUM ARSENICOSUM
CUPRUM CARB,CUPRUM CARBONICUM
CUPRUM MET,CUPRUM METALLICUM
CUPRUM MUR,CUPRUM MURIATICUM
CUPRUM NIT,CUPRUM NITRICUM
CUPRUM OXY NIG,CUPRUM OXYDATUM NIGRUM
CUPRUM SUL,CUPRUM SULPHURICUM
CURCUMA LON,CURCUMA LONGA
CYCLAMEN EUR,CYCLAMEN EUROPAEUM
CYDONIA VUL,CYDONIA VULGARIS
CYNARA SCO,CYNARA SCOLYMUS
CYNODON DAC,CYNODON DACTYLON
CYPRIPEDIUM PUB,CYPRIPEDIUM PUBESCENS
DAMIANA,DAMIANA
DAPHNE IND,DAPHNE INDICA
DATISCA CAN,DATISCA CANNABINA
DATURA ARB,DATURA ARBOREA
DATURA MET,DATURA METEL
DICTAMNUS ALB,DICTAMNUS ALBUS
DIGITOXINUM,DIGITOXINUM
DINITROPHENOLUM,DINITROPHENOLUM
DIOSCOREA VIL,DIOSCOREA VILLOSA
DIPHTHERINUM,DIPHTHERINUM
DIRCA PAL,DIRCA PALUSTRIS
DOLICHOS,DOLICHOS 
DORYPHORA DEC,DORYPHORA DECEMLINEATA
DROSERA ROT,DROSERA ROTUNDIFOLIA
DUBOISIA MYO,DUBOISIA MYOPOROIDES
DULCAMARA,DULCAMARA
ECHINACEA ANG,ECHINACEA ANGUSTIFOLIA
ECHINACEA PUR,ECHINACEA PURPUREA
